name,n,win_rate,avg_pnl,med_pnl,total_pnl_sum,profit_factor,avg_win,avg_loss,max_win,max_loss,avg_hold_days,add_rate,breakdown,exit_mode,add_after_dd,target_dd,score
br=both|ex=hist_turn_up|add=0.05|tgt=None,19,0.15789473684210525,-0.023835474174804284,-0.020642573792066177,-0.4528740093212814,0.08448313595531659,0.013930279168967072,-0.030916552926761418,0.0175693603357968,-0.06986379136327589,11.631578947368421,0.10526315789473684,both,hist_turn_up,0.05,,-0.4370845356370709
br=both|ex=target|add=0.03|tgt=0.08,14,0.2857142857142857,-0.03565348895981153,-0.05308585550348961,-0.4991488454373615,0.3934024202228225,0.0809294210828442,-0.08228665297687382,0.13127166953645383,-0.17507864216228813,50.57142857142857,0.35714285714285715,both,target,0.03,0.08,-0.4705774168659329
br=swing_low|ex=target|add=0.03|tgt=0.08,14,0.2857142857142857,-0.03565348895981153,-0.05308585550348961,-0.4991488454373615,0.3934024202228225,0.0809294210828442,-0.08228665297687382,0.13127166953645383,-0.17507864216228813,50.57142857142857,0.35714285714285715,swing_low,target,0.03,0.08,-0.4705774168659329
br=both|ex=target|add=None|tgt=0.05,14,0.2857142857142857,-0.036325908910084255,-0.04390083189034037,-0.5085627247411796,0.35298470627609063,0.06936268190143245,-0.07860134523469095,0.13412767103087714,-0.17507864216228813,49.785714285714285,0.0,both,target,,0.05,-0.479991296169751
br=swing_low|ex=target|add=None|tgt=0.05,14,0.2857142857142857,-0.036325908910084255,-0.04390083189034037,-0.5085627247411796,0.35298470627609063,0.06936268190143245,-0.07860134523469095,0.13412767103087714,-0.17507864216228813,49.785714285714285,0.0,swing_low,target,,0.05,-0.479991296169751
br=ma20|ex=macd_cross_up|add=0.03|tgt=None,35,0.22857142857142856,-0.01474375687630619,-0.020018846040912208,-0.5160314906707166,0.26966720786485576,0.023817356408967268,-0.026169271923794618,0.06813856211930445,-0.05403053636733035,13.914285714285715,0.22857142857142856,ma20,macd_cross_up,0.03,,-0.4931743478135738
br=ma20|ex=hist_turn_up|add=0.03|tgt=None,35,0.22857142857142856,-0.01474375687630619,-0.020018846040912208,-0.5160314906707166,0.26966720786485576,0.023817356408967268,-0.026169271923794618,0.06813856211930445,-0.05403053636733035,13.914285714285715,0.22857142857142856,ma20,hist_turn_up,0.03,,-0.4931743478135738
br=swing_low|ex=target|add=0.05|tgt=0.08,14,0.2857142857142857,-0.03805487451590967,-0.04390083189034037,-0.5327682432227354,0.32218940829577986,0.06331130228104348,-0.07860134523469095,0.1145449981525956,-0.17507864216228813,50.57142857142857,0.21428571428571427,swing_low,target,0.05,0.08,-0.5041968146513068
br=both|ex=target|add=0.05|tgt=0.08,14,0.2857142857142857,-0.03805487451590967,-0.04390083189034037,-0.5327682432227354,0.32218940829577986,0.06331130228104348,-0.07860134523469095,0.1145449981525956,-0.17507864216228813,50.57142857142857,0.21428571428571427,both,target,0.05,0.08,-0.5041968146513068
br=ma20|ex=macd_cross_up|add=0.05|tgt=None,35,0.22857142857142856,-0.01533054644332692,-0.019512958660083263,-0.5365691255164422,0.21793130069288866,0.018690047232910137,-0.025410722347397156,0.06441456269217628,-0.05403053636733035,13.914285714285715,0.17142857142857143,ma20,macd_cross_up,0.05,,-0.5137119826592993
br=ma20|ex=hist_turn_up|add=0.05|tgt=None,35,0.22857142857142856,-0.01533054644332692,-0.019512958660083263,-0.5365691255164422,0.21793130069288866,0.018690047232910137,-0.025410722347397156,0.06441456269217628,-0.05403053636733035,13.914285714285715,0.17142857142857143,ma20,hist_turn_up,0.05,,-0.5137119826592993
br=swing_low|ex=vol_spike|add=None|tgt=None,14,0.21428571428571427,-0.041366099616979186,-0.048975828023693505,-0.5791253946377086,0.27306407474640876,0.07251365379680393,-0.07242421418437459,0.19266118260483692,-0.1387298334012932,52.57142857142857,0.0,swing_low,vol_spike,,,-0.5576968232091372
br=both|ex=vol_spike|add=None|tgt=None,14,0.21428571428571427,-0.041366099616979186,-0.048975828023693505,-0.5791253946377086,0.27306407474640876,0.07251365379680393,-0.07242421418437459,0.19266118260483692,-0.1387298334012932,52.57142857142857,0.0,both,vol_spike,,,-0.5576968232091372
br=swing_low|ex=target|add=0.03|tgt=0.05,14,0.2857142857142857,-0.042992789063001934,-0.05308585550348961,-0.6018990468820271,0.2685338082092277,0.05524187072167777,-0.08228665297687382,0.11737383403169976,-0.17507864216228813,49.785714285714285,0.35714285714285715,swing_low,target,0.03,0.05,-0.5733276183105985
br=both|ex=target|add=0.03|tgt=0.05,14,0.2857142857142857,-0.042992789063001934,-0.05308585550348961,-0.6018990468820271,0.2685338082092277,0.05524187072167777,-0.08228665297687382,0.11737383403169976,-0.17507864216228813,49.785714285714285,0.35714285714285715,both,target,0.03,0.05,-0.5733276183105985
br=both|ex=target|add=0.05|tgt=0.05,14,0.2857142857142857,-0.04551281466953216,-0.04390083189034037,-0.6371794053734502,0.1893530530922398,0.03720851174336476,-0.07860134523469095,0.07174587634421478,-0.17507864216228813,49.785714285714285,0.21428571428571427,both,target,0.05,0.05,-0.6086079768020216
br=swing_low|ex=target|add=0.05|tgt=0.05,14,0.2857142857142857,-0.04551281466953216,-0.04390083189034037,-0.6371794053734502,0.1893530530922398,0.03720851174336476,-0.07860134523469095,0.07174587634421478,-0.17507864216228813,49.785714285714285,0.21428571428571427,swing_low,target,0.05,0.05,-0.6086079768020216
br=swing_low|ex=vol_spike|add=0.03|tgt=None,14,0.21428571428571427,-0.048268040445312035,-0.06837103035062307,-0.6757525662343685,0.22874638217946322,0.0668072305499245,-0.07965220526219473,0.17554191286419865,-0.14097460614535373,52.57142857142857,0.35714285714285715,swing_low,vol_spike,0.03,,-0.6543239948057971
br=both|ex=vol_spike|add=0.03|tgt=None,14,0.21428571428571427,-0.048268040445312035,-0.06837103035062307,-0.6757525662343685,0.22874638217946322,0.0668072305499245,-0.07965220526219473,0.17554191286419865,-0.14097460614535373,52.57142857142857,0.35714285714285715,both,vol_spike,0.03,,-0.6543239948057971
br=swing_low|ex=vol_spike|add=0.05|tgt=None,14,0.21428571428571427,-0.05140449117311357,-0.0730158318924896,-0.71966287642359,0.20409808131640628,0.06151587644351972,-0.08220095506855901,0.1596678505449843,-0.1387298334012932,52.57142857142857,0.21428571428571427,swing_low,vol_spike,0.05,,-0.6982343049950185
br=both|ex=vol_spike|add=0.05|tgt=None,14,0.21428571428571427,-0.05140449117311357,-0.0730158318924896,-0.71966287642359,0.20409808131640628,0.06151587644351972,-0.08220095506855901,0.1596678505449843,-0.1387298334012932,52.57142857142857,0.21428571428571427,both,vol_spike,0.05,,-0.6982343049950185
br=ma20|ex=target|add=None|tgt=0.08,24,0.3333333333333333,-0.04652003055878807,-0.037596017265753234,-1.1164807334109137,0.3067350135321968,0.06174834651178839,-0.1006542190940763,0.17129934354017876,-0.2213698666867138,53.25,0.0,ma20,target,,0.08,-1.0831474000775803
br=ma20|ex=vol_spike|add=None|tgt=None,24,0.3333333333333333,-0.0468666864356637,-0.037596017265753234,-1.1248004744559288,0.2248862737904977,0.04079275384129378,-0.09069640657414244,0.21912979741619812,-0.19860480778181142,51.958333333333336,0.0,ma20,vol_spike,,,-1.0914671411225954
br=ma20|ex=target|add=None|tgt=0.05,24,0.3333333333333333,-0.052555072873817145,-0.037596017265753234,-1.2613217489716115,0.21679776545635965,0.04364321956670118,-0.1006542190940763,0.06204998647826381,-0.2213698666867138,49.958333333333336,0.0,ma20,target,,0.05,-1.227988415638278
br=ma20|ex=vol_spike|add=0.05|tgt=None,24,0.2916666666666667,-0.0525638700256655,-0.039494005915365143,-1.261532880615972,0.1773580299605779,0.03885442870744498,-0.09020669891576982,0.19721598830796383,-0.19860480778181142,51.958333333333336,0.20833333333333334,ma20,vol_spike,0.05,,-1.2323662139493055
br=ma20|ex=target|add=0.05|tgt=0.08,24,0.25,-0.05295308637320286,-0.037596017265753234,-1.2708740729568686,0.22808780961887837,0.06258718871875714,-0.09146651140385617,0.14775864044153217,-0.2213698666867138,53.25,0.25,ma20,target,0.05,0.08,-1.2458740729568687
br=ma20|ex=vol_spike|add=0.03|tgt=None,24,0.2916666666666667,-0.05450511897434338,-0.04708558287576567,-1.3081228553842412,0.17923963639242949,0.040810148274342595,-0.09375258195909644,0.20695786224856713,-0.19860480778181142,51.958333333333336,0.4166666666666667,ma20,vol_spike,0.03,,-1.2789561887175747
