date,S0_always_short,S1_below_ma20,S2_below_ma60,S3_below_ma60_down,S4_below_ma120_down,S5_death_cross,S6_break_ll20,S7_ma60_down_and_ll20,S8_ret60_neg_ma60,S9_rsi_overbought_short,S10_vol_expand_ma60
2017-01-03,0.8982037830881902,0.9306654893942946,0.8807392053811681,0.9404023981616093,1.0,0.9605619144002865,0.96811003715429,0.96811003715429,0.9362152549874561,0.997265881000294,0.9895641354627259
2017-01-04,0.8989780132643248,0.9306654893942946,0.8807392053811681,0.9404023981616093,1.0,0.9605619144002865,0.96811003715429,0.96811003715429,0.9362152549874561,0.997265881000294,0.9895641354627259
2017-01-05,0.8924826474831634,0.9306654893942946,0.8807392053811681,0.9404023981616093,1.0,0.9605619144002865,0.96811003715429,0.96811003715429,0.9362152549874561,0.997265881000294,0.9895641354627259
2017-01-06,0.889902665525771,0.9306654893942946,0.8807392053811681,0.9404023981616093,1.0,0.9605619144002865,0.96811003715429,0.96811003715429,0.9362152549874561,0.997265881000294,0.9895641354627259
2017-01-09,0.8920877580107814,0.9306654893942946,0.8807392053811681,0.9404023981616093,1.0,0.9605619144002865,0.96811003715429,0.96811003715429,0.9362152549874561,0.997265881000294,0.9895641354627259
2017-01-10,0.8922787014521365,0.9306654893942946,0.8807392053811681,0.9404023981616093,1.0,0.9605619144002865,0.96811003715429,0.96811003715429,0.9362152549874561,0.997265881000294,0.9895641354627259
2017-01-11,0.8926607518488191,0.9306654893942946,0.8807392053811681,0.9404023981616093,1.0,0.9605619144002865,0.96811003715429,0.96811003715429,0.9362152549874561,0.997265881000294,0.9895641354627259
2017-01-12,0.8857779531624713,0.9306654893942946,0.8807392053811681,0.9404023981616093,1.0,0.9605619144002865,0.96811003715429,0.96811003715429,0.9362152549874561,0.997265881000294,0.9895641354627259
2017-01-13,0.8891666892213287,0.9306654893942946,0.8807392053811681,0.9404023981616093,1.0,0.9605619144002865,0.96811003715429,0.96811003715429,0.9362152549874561,1.0009315484737242,0.9895641354627259
2017-01-16,0.8975138909123332,0.9306654893942946,0.8807392053811681,0.9404023981616093,1.0,0.9605619144002865,0.96811003715429,0.96811003715429,0.9362152549874561,1.01032796155946,0.9895641354627259
2017-01-17,0.8921980106624755,0.9306654893942946,0.8807392053811681,0.9404023981616093,1.0,0.9605619144002865,0.96811003715429,0.96811003715429,0.9362152549874561,1.0101764123652262,0.9895641354627259
2017-01-18,0.8928677571584153,0.9306654893942946,0.8807392053811681,0.9404023981616093,1.0,0.9605619144002865,0.96811003715429,0.96811003715429,0.9362152549874561,1.0101764123652262,0.9895641354627259
2017-01-19,0.8940176190478659,0.9306654893942946,0.8807392053811681,0.9404023981616093,1.0,0.9605619144002865,0.96811003715429,0.96811003715429,0.9362152549874561,1.0101764123652262,0.9895641354627259
