symbol,strategy,params,round_trip_cost_pct,n,win_rate,avg_pnl,total_pnl,pf
1815,gap_go,"(0.005,)",0.17850000000000002,137,0.20437956204379562,-0.001700242328002496,-0.23293319893634196,0.8175628321924638
1815,gap_go,"(0.008,)",0.17850000000000002,100,0.2,-0.002892914629689371,-0.2892914629689371,0.6913596373590734
2303,orb,"(5, False)",0.17850000000000002,883,0.3363533408833522,-0.002589058278218148,-2.286138459666625,0.5922389329329318
2303,orb,"(10, False)",0.17850000000000002,738,0.3604336043360434,-0.0023187635082945125,-1.7112474691213504,0.6230794341462594
2303,orb,"(15, False)",0.17850000000000002,676,0.3683431952662722,-0.0024064080507041267,-1.6267318422759898,0.5991860143229922
2303,orb,"(30, False)",0.17850000000000002,557,0.37163375224416517,-0.0022911034132534775,-1.276144601182187,0.584107339752023
2303,orb_long_only,"(5, True)",0.17850000000000002,415,0.3108433734939759,-0.002766045538696303,-1.1479088985589656,0.5778690216982136
2303,orb_long_only,"(10, True)",0.17850000000000002,342,0.3362573099415205,-0.002597013526883005,-0.8881786261939877,0.5993903375910132
2303,orb_long_only,"(15, True)",0.17850000000000002,309,0.34951456310679613,-0.0028503799810121,-0.8807674141327388,0.5612329171109371
2303,orb_long_only,"(30, True)",0.17850000000000002,245,0.37551020408163266,-0.0023009008152707956,-0.5637206997413449,0.5862151847389491
2303,orb_vwap_long,"(10,)",0.17850000000000002,342,0.3362573099415205,-0.002597013526883005,-0.8881786261939877,0.5993903375910132
2303,orb_vwap_long,"(15,)",0.17850000000000002,309,0.34951456310679613,-0.0028503799810121,-0.8807674141327388,0.5612329171109371
2303,orb_vwap_long,"(30,)",0.17850000000000002,245,0.37551020408163266,-0.0023009008152707956,-0.5637206997413449,0.5862151847389491
2303,vwap_pullback,"(None,)",0.17850000000000002,573,0.5654450261780105,-0.0015938649755258506,-0.9132846309763124,0.520292114591187
2303,momentum,"(15,)",0.17850000000000002,1036,0.305019305019305,-0.0024205084501034185,-2.5076467543071415,0.5553156254768961
2303,momentum,"(30,)",0.17850000000000002,864,0.3090277777777778,-0.002844113349856481,-2.4573139342759998,0.4774760332286505
2303,momentum,"(60,)",0.17850000000000002,664,0.3207831325301205,-0.00245573546029319,-1.6306083456346783,0.4740831437178408
2303,rsi_revert,"(25, 75)",0.17850000000000002,2749,0.457984721716988,-0.0009447143909311562,-2.5970198606697483,0.5039317394717954
2303,rsi_revert,"(30, 70)",0.17850000000000002,3741,0.45442395081529,-0.0008549672985366183,-3.1984326638254887,0.5292460632805428
2303,gap_go,"(0.005,)",0.17850000000000002,225,0.28888888888888886,-0.0031115755024746744,-0.7001044880568017,0.582802148749297
2303,gap_go,"(0.008,)",0.17850000000000002,162,0.2962962962962963,-0.0027813430060181364,-0.4505775669749381,0.6396992295786995
2317,orb,"(5, False)",0.17850000000000002,824,0.41383495145631066,-0.0016660649594356389,-1.3728375265749664,0.7048499227904043
2317,orb,"(10, False)",0.17850000000000002,733,0.40791268758526605,-0.0019499217489351512,-1.4292926419694658,0.6533432664053493
2317,orb,"(15, False)",0.17850000000000002,661,0.42208774583963693,-0.0015926914154776337,-1.0527690256307158,0.6985783433859544
2317,orb,"(30, False)",0.17850000000000002,548,0.4233576642335766,-0.0012326485142688623,-0.6754913858193365,0.7278902080086425
2317,orb_long_only,"(5, True)",0.17850000000000002,382,0.39790575916230364,-0.002085790662247657,-0.796772032978605,0.6625003303179543
2317,orb_long_only,"(10, True)",0.17850000000000002,335,0.3880597014925373,-0.002426587377304426,-0.8129067713969826,0.6122858466478517
2317,orb_long_only,"(15, True)",0.17850000000000002,299,0.40468227424749165,-0.002128792852939705,-0.6365090630289718,0.6482841616759061
2317,orb_long_only,"(30, True)",0.17850000000000002,233,0.40772532188841204,-0.00109912200978474,-0.25609542827984444,0.7715648203708849
2317,orb_vwap_long,"(10,)",0.17850000000000002,335,0.3850746268656716,-0.002436880738086721,-0.8163550472590515,0.6109723982260771
2317,orb_vwap_long,"(15,)",0.17850000000000002,299,0.40468227424749165,-0.002128792852939705,-0.6365090630289718,0.6482841616759061
2317,orb_vwap_long,"(30,)",0.17850000000000002,233,0.40772532188841204,-0.00109912200978474,-0.25609542827984444,0.7715648203708849
2317,vwap_pullback,"(None,)",0.17850000000000002,487,0.6036960985626283,-0.0013310575897913896,-0.6482250462284067,0.6110065199872817
2317,momentum,"(15,)",0.17850000000000002,932,0.34549356223175964,-0.0025568427016147833,-2.382977397904978,0.5406828403486206
2317,momentum,"(30,)",0.17850000000000002,772,0.3639896373056995,-0.0021416628008312255,-1.6533636822417062,0.5799377986186468
2317,momentum,"(60,)",0.17850000000000002,585,0.3435897435897436,-0.0018491278151797083,-1.0817397718801294,0.5712986582339405
2317,rsi_revert,"(25, 75)",0.17850000000000002,2678,0.6945481702763256,2.8283210642935254e-05,0.07574243810178061,1.022098840370327
2317,rsi_revert,"(30, 70)",0.17850000000000002,3100,0.6861290322580645,-2.796775867700795e-05,-0.08670005189872465,0.9794188046175579
